name	memory_card	garden	swim	fly	run	power	total	swim_stat	fly_stat	run_stat	power_stat	total_stat	stamina	stamina_stat	hat	intellegence	trips	luck
flyer	Black1	Hero	35	99	4	28	166	711	3015	62	571	4359	12	269	0	0	0	-35
fuji	Black1	Neutral	7	60	5	35	107	120	1492	94	772	2478	32	513	0	0	0	-8
ghost	Black1	Neutral	23	55	9	19	106	447	1484	172	309	2412	20	373	0	0	0	41
gills	AM	Dark	90	30	3	3	126	1441	762	84	47	2334	28	620	0	0	0	-11
gregg	AM	Hero	15	14	18	13	60	197	229	448	249	1123	13	294	0	0	0	35
hiya	White	Neutral	30	0	3	75	108	663	0	65	1655	2383	18	333	0	0	0	21
honey	AM	Dark	66	24	17	3	110	1847	668	451	42	3008	12	341	0	0	0	-24
hope	White	Hero	29	29	30	29	117	794	794	809	614	3011	15	242	0	0	0	-50
jester	AM	Neutral	5	77	4	0	86	109	2163	54	0	2326	24	461	0	0	0	11
kosmo	White	Neutral	11	34	8	65	118	176	852	153	1429	2610	35	564	0	0	0	-5
leafy	White	Dark	6	25	54	34	119	111	546	1189	697	2543	20	337	0	0	0	11
limeguy	Black1	Dark	54	0	7	41	102	1325	0	136	904	2365	22	354	0	0	0	9
luigi	Black1	Dark	15	30	18	10	73	373	570	391	192	1526	17	229	0	0	0	1
mario	Black1	Hero	14	22	26	20	82	305	295	407	500	1507	19	364	0	0	0	42
melody	White	Hero	30	0	3	81	93	639	0	55	1546	2240	22	348	0	0	0	25
minty	Black1	Neutral	9	55	7	35	106	174	1527	131	760	2592	22	422	0	0	0	-19
Mr.E	Black2	Neutral	28	33	33	20	114	608	819	906	445	2778	16	307	0	0	0	7
neptune	Black1	Neutral	58	47	15	26	146	1263	723	309	560	2855	10	178	0	0	0	5
olive	White	Dark	7	0	18	83	108	130	0	405	2303	2838	30	571	0	0	0	-25
ownerbm	AM	Hero	40	7	1	1	49	1114	110	26	20	1270	35	870	0	0	1	5
papoose	Black1	Dark	25	8	60	32	125	566	130	1147	599	2442	9	222	0	0	0	10
peach	AM	Neutral	13	39	16	13	81	250	745	251	246	1492	14	219	0	0	0	53
peaches	Black2	Neutral	32	29	51	20	132	805	728	1235	383	3151	12	159	0	0	0	-4
pebbles	AM	Dark	7	60	33	0	100	127	1335	826	0	2288	22	353	0	0	0	13
phantom	Black2	Dark	43	5	48	16	112	938	95	1326	243	2602	21	395	0	0	0	0
phoenix	Black1	Dark	20	53	6	33	112	362	1484	154	632	2632	21	446	0	0	0	12
pinky	Black2	Hero	38	21	23	17	99	1037	341	505	319	2202	24	305	0	0	0	-16
pluto	White	Hero	27	27	43	43	140	509	578	932	917	2936	8	179	0	0	0	-11
powim	Black1	Hero	88	1	4	20	113	1398	17	85	415	1915	19	360	1	0	0	22
quartz	Black1	Hero	60	0	5	30	95	1508	0	79	583	2170	27	599	0	0	0	9
ram-baa	Black2	Neutral	34	52	24	0	110	858	1315	465	0	2638	27	345	0	0	0	-11
rosebud	White	Neutral	13	13	52	26	104	251	204	1000	635	2090	0	0	0	0	0	11
rover	White	Neutral	22	4	13	84	123	408	41	183	2320	2952	8	205	0	0	0	-39
roxy	Black1	Neutral	5	5	30	71	111	115	107	655	1548	2425	30	573	0	0	0	-7
runfly	AM	Hero	7	72	20	2	101	106	1795	532	33	2466	20	396	1	0	0	0
runner	White	Hero	9	29	99	2	139	127	475	3031	19	3652	11	276	0	0	0	2
scorpio	White	Dark	7	37	5	60	109	118	936	107	1310	2471	31	493	0	0	0	24
shiny	AM	Dark	6	77	5	5	93	104	2119	96	67	2386	17	370	0	0	0	14
snowbow	AM	Neutral	65	20	10	11	106	1813	538	224	201	2776	18	442	0	0	0	-5
spike	AM	Neutral	7	60	4	35	106	116	1673	54	569	2412	21	330	0	0	0	0
spring	Black1	Dark	22	0	75	14	111	346	0	1854	264	2464	33	726	0	0	0	2
star	AM	Hero	7	33	60	0	100	169	923	1472	0	2564	23	300	0	0	0	1
stinky	AM	Hero	10	15	20	15	60	192	230	378	289	1089	28	535	0	0	0	58
swimmer	AM	Hero	99	33	23	2	157	2981	568	536	21	4106	11	242	0	0	0	-16
tallone	Black2	Hero	13	50	13	13	89	239	1104	291	247	1881	49	912	0	0	0	25
teal	Black2	Dark	6	5	77	5	93	112	126	2107	80	2425	10	186	0	0	0	2
tiny	Black1	Neutral	60	0	6	40	106	1508	0	139	919	2566	22	490	0	0	0	32
unicorn	Black1	Hero	12	38	55	28	133	261	716	1054	672	2703	24	449	0	0	0	-10
wario	Black1	Neutral	14	11	14	47	86	305	171	265	743	1484	14	299	0	0	0	4
wave	AM	Hero	7	60	30	0	97	200	1497	841	0	2538	21	452	0	0	0	-29
woody	AM	Dark	50	37	15	5	107	861	1046	289	64	2260	16	363	1	0	0	11
WOW	White	Neutral	38	5	16	65	124	723	81	305	1429	2538	19	359	0	0	0	-9
xeon	Black2	Dark	41	24	40	0	105	1039	464	1001	0	2504	21	334	0	0	0	-4
yoshi	AM	Neutral	33	33	34	7	107	624	433	547	147	1751	14	345	0	0	0	-15
ziggy	AM	Dark	60	30	5	5	100	1694	746	109	97	2646	26	496	0	0	0	17
zippy	Black2	Dark	30	0	70	0	90	573	0	1540	0	2113	23	449	0	0	0	-1
